Bahnhof               | id 
Aufkirchen (Kr Erding) Schule | de:09177:3747
Aufkirchen (Kr Starnberg) Aufkirchen | de:09188:5364
Aufkirchen (Maisach) Abzw. Geisenhofen | de:09179:6272
Aufkirchen (Maisach) Aufkirchen | de:09179:6274
Aufkirchen (Maisach) Schule | de:09179:6285
Aufkirchen (Maisach) Schulstraße | de:09179:6273
Aug (Obb.) Aug | de:09173:4918
Au in der Hallertau Freisinger Straße | de:09178:2974
Au in der Hallertau Hopfenhalle | de:09178:2982
Au in der Hallertau Königsgütler | de:09178:3234
Au in der Hallertau Moosburger Straße | de:09178:2976
Au in der Hallertau Rathaus | de:09178:2978
Axenhofen Axenhofen, Abzw. B301 | de:09273:836
Aying Aying | de:09184:2260
Aying Peißer Straße 8 | de:09184:2346
Babenberg Babenberg | de:09182:43237
Babenried Babenried | de:09179:6440
Babing (Kr Erding) Babing | de:09177:3768
Babing (Kr Landshut) Babing | de:09274:81135
Bachappen Bachappen | de:09186:2487
Bachenhausen Bachenhausen | de:09178:2700
Bachern (am Wörthsee) Bachern | de:09188:5496
Bachern (am Wörthsee) Wallerstraße | de:09188:5497
Bachern (Kr Dachau) Bachern | de:09174:6870
Bachham (Kr Erding) Bachham | de:09177:3536
Bachhausen (Kr Starnberg) Bachhausen | de:09188:5372
Bachhausen (Kr Starnberg) Biberkorstraße | de:09188:5343
Bachhausen (Kr Starnberg) Frauental | de:09188:5344
Bachhausen (Kr Starnberg) Mühlenweg | de:09188:5373
Bachhäusl Bachhäusl | de:09175:4188
Bach (Kirchdorf) Bach (Kirchdorf) | de:09183:80619
Bachmühle (Velden) Bachmühle | de:09274:3725
Bad Aibling Bad Aibling, Alte Meierei | de:09187:90346
Bad Aibling Bad Aibling, Am Braiten Stög | de:09187:90355
Bad Aibling Bad Aibling, Am Windschlag | de:09187:90351
Bad Aibling Bad Aibling | de:09187:40851
Bad Aibling Bad Aibling, Demmel | de:09187:90367
Bad Aibling Bad Aibling, Eichenstraße | de:09187:90364
Bad Aibling Bad Aibling, Ellmosen, Mitte | de:09187:90365
Bad Aibling Bad Aibling, Evangelische Kirche | de:09187:40853
Bad Aibling Bad Aibling, Fraunhoferstraße | de:09187:90350
Bad Aibling Bad Aibling, Friedhof / Berufsschule | de:09187:90363
Bad Aibling Bad Aibling, Ganghoferstr. / Prof.-Urban-Str. | de:09187:90361
Bad Aibling Bad Aibling, Georgssiedlung | de:09187:40855
Bad Aibling Bad Aibling, Ghersburg | de:09187:90348
Bad Aibling Bad Aibling, Ghersburgstr. / Haus Morgensonne | de:09187:90358
Bad Aibling Bad Aibling, Harthausen | de:09187:90354
Bad Aibling Bad Aibling, Haus Wittelsbach | de:09187:90347
Bad Aibling Bad Aibling, Irlachstraße | de:09187:90345
Bad Aibling Bad Aibling, Klinik Wendelstein | de:09187:40857
Bad Aibling Bad Aibling, Kurhaus | de:09187:90344
Bad Aibling Bad Aibling, Kurpark | de:09187:90019
Bad Aibling Bad Aibling, Luitpoldschule | de:09187:90357
Bad Aibling Bad Aibling, Marienplatz | de:09187:90362
Bad Aibling Bad Aibling, Mietraching | de:09187:90368
Bad Aibling Bad Aibling, Novalishaus / LVA | de:09187:90349
Bad Aibling Bad Aibling, Pullach | de:09187:90359
Bad Aibling Bad Aibling, RoMed Klinik | de:09187:90356
Bad Aibling Bad Aibling, Rosenheimerstr. / Ganghofer Str. | de:09187:90360
Bad Aibling Bad Aibling, Schmelmer Hof | de:09187:90353
Bad Aibling Bad Aibling, Schön Klinik / Neuro | de:09187:90352
Bad Aibling Bad Aibling, Schulzentrum | de:09187:40852
Bad Aibling Bad Aibling, Sonnenstr. | de:09187:79034
Bad Aibling Bad Aibling, Therme | de:09187:79033
Bad Aibling Bad Aibling, Westendstraße | de:09187:40858
Bad Aibling Bad Aibling, Westendstr. | de:09187:47046
Bad Aibling Bad Aibling, Wilpasing | de:09187:90366
Bad Aibling Sonnenstr./Radlweg | de:09187:47072
Bad Heilbrunn (Obb.) Birkenallee | de:09173:4951
Bad Heilbrunn (Obb.) Gästeinfo/Fachklinik | de:09173:8832
Bad Heilbrunn (Obb.) Hofgut Letten | de:09173:4939
Bad Heilbrunn (Obb.) Kirche | de:09173:4949
Bad Heilbrunn (Obb.) Reindlschmiede | de:09173:4935
Bad Tölz Albert-Schäffenacker-Straße | de:09173:9320
Bad Tölz Am Lettenholz | de:09173:9323
Bad Tölz Amortplatz | de:09173:4946
Bad Tölz An der Osterleite | de:09173:4965
Bad Tölz Arzbacher Straße/Parkplatz | de:09173:9337
Bad Tölz Arzbacher Str./Morlok | de:09173:9342
Bad Tölz Bad Tölz, Bahnhof | de:09173:4950
Bad Tölz Bad Tölz | de:09173:4505
Bad Tölz Behördenzentrum | de:09173:4984
Bad Tölz Buchener Straße | de:09173:9335
Bad Tölz Café am Wald | de:09173:4980
Bad Tölz Chr.-Pabst-Weg | de:09173:9332
Bad Tölz Einbach | de:09173:4942
Bad Tölz Eisenbergerstraße | de:09173:9315
Bad Tölz Eisstadion | de:09173:9319
Bad Tölz Enzianstraße | de:09173:9329
Bad Tölz Ev. Kirche | de:09173:9344
Bad Tölz Forsthaus | de:09173:9343
Bad Tölz Friedhof | de:09173:4978
Bad Tölz Gaißacher Str. / Am Winacker | de:09173:9339
Bad Tölz General-Patton-Str./B13 | de:09173:9322
Bad Tölz General-Patton-Str./Schule | de:09173:9321
Bad Tölz Gewerbering | de:09173:9345
Bad Tölz Grünerbrauerei | de:09173:9316
Bad Tölz Hauptpost | de:09173:4948
Bad Tölz Im Farchet | de:09173:9311
